company,year,variable,var_type,ground_truth,extracted_value,unit,match,absolute_error,pct_error,retrieved_pages,num_chunks_used,source_page_hint
AIG,2021,total_revenues,numeric,52057,52057,millions USD,True,0.0,0.0,"[127, 252, 258, 259, 261, 397, 419]",5,Consolidated Statements of Income
AIG,2020,total_revenues,numeric,43736,43736,millions USD,True,0.0,0.0,"[120, 205, 244, 285, 388, 454]",5,Consolidated Statements of Income
AIG,2019,total_revenues,numeric,49746,49746,millions USD,True,0.0,0.0,"[182, 226, 264, 369, 580, 586]",5,Consolidated Statements of Income
AIG,2018,total_revenues,numeric,47389,47389,millions USD,True,0.0,0.0,"[58, 65, 101, 228, 251, 408]",5,Consolidated Statements of Income
AIG,2017,total_revenues,numeric,49520,49520,millions USD,True,0.0,0.0,"[52, 59, 93, 215, 391, 394]",5,Consolidated Statements of Income
AIG,2021,net_income,numeric,9388,9388,millions USD,True,0.0,0.0,"[252, 259, 260, 262, 267, 398, 399, 625, 626]",5,Consolidated Statements of Comprehensive Income (Loss)
AIG,2020,net_income,numeric,-5944,-5944,millions USD,True,0.0,0.0,"[247, 377, 389, 390, 619, 620]",5,Consolidated Statements of Comprehensive Income (Loss)
AIG,2019,net_income,numeric,3348,-6,millions USD,False,-3354.0,-100.18,"[183, 227, 370, 580, 585, 586, 587, 605]",5,Consolidated Statements of Comprehensive Income (Loss)
AIG,2018,net_income,numeric,-6,-6,millions USD,True,0.0,0.0,"[59, 101, 224, 228, 229, 408, 412]",5,Consolidated Statements of Comprehensive Income (Loss)
AIG,2017,net_income,numeric,-6084,-6084,millions USD,True,0.0,0.0,"[53, 216, 391, 394, 395, 412]",5,Consolidated Statements of Comprehensive Income (Loss)
AIG,2021,industry,categorical,General Insurance and Life and Retirement,"General Insurance, Life and Retirement, Other Operations",,True,,,"[125, 126, 269, 415, 416, 501]",5,ITEM 1 | Business
AIG,2020,industry,categorical,General Insurance and Life and Retirement,"General Insurance, Life and Retirement, Other Operations",,True,,,"[119, 120, 255, 410, 411, 496]",5,ITEM 1 | Business
AIG,2019,industry,categorical,General Insurance and Life and Retirement,"General Insurance, Life and Retirement, Other Operations, Legacy Portfolio",,True,,,"[120, 121, 122, 235, 236, 265, 387, 390, 465]",5,ITEM 1 | Business
AIG,2018,industry,categorical,General Insurance and Life and Retirement,"General Insurance, Life and Retirement, Other Operations",,True,,,"[4, 5, 108, 246, 248]",5,ITEM 1 | Business
AIG,2017,industry,categorical,General Insurance and Life and Retirement,"General Insurance, Life and Retirement, Other Operations, Legacy Portfolio",,True,,,"[4, 5, 101, 131, 233]",5,ITEM 1 | Business
